VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__
V02458,48295,13308,PUMP 1050A SS/SS/PT/PT,8746.50,7,8746.50,7,0,0,,19,,13308,110,,,
V02458,48295,2938,23970-00 Spring,334.80,120,334.80,120,0,0,,19,,2938,110,,,
V02458,48295,3014,23973-00 P2 Side Seal Kit,1354.62,107,1354.62,107,0,0,,19,,3014,110,,,
V02458,48295,2665,Hose Htd 2000 3/8 W/S  246678,5535.00,5,5535.00,5,0,0,,19,,2665,110,,,
V02458,48295,21226,GUN GX-8,3132.00,1,3132.00,1,0,0,,19,,21226,110,,,
V02458,48295,13696,122295 PUMP GEAR HYDRAULIC H39,1512.00,4,1512.00,4,0,0,,19,,13696,110,,,
V02458,48295,14028,24W352 ENDURAFLOW 4:1 350 NPT PUMP,13318.50,3,13318.50,3,0,0,,19,,14028,110,,,
V02458,48295,14332,A-XP1 PROPORTIONER PACKAGE (24Y164),41160.00,4,41160.00,4,0,0,,19,,14332,110,,,
V02458,48295,13607,108713 WIPER SHAFT,176.20,10,176.20,10,0,0,,19,,13607,110,,,
V02458,48295,13787,16A953 COUPLER SPIDER,191.40,4,191.40,4,0,0,,19,,13787,110,,,
V02458,48295,2758,Kit Spring 12/pk,415.20,20,415.20,20,0,0,,19,,2758,110,,,
V01503,48314,3235,Dibasic Ester Flush (55Gal Drum)4 DRUMS,2080.00,2000,2080.00,2000,0,0,,2,,3235,110,,,
V01503,48314,3239,DIOCTYL ADIPATE (55GAL DRUM),603.50,425,603.50,425,0,0,,2,,3239,110,,,
V02458,48344,14149,295680 STOP TWO-POSITION,1227.60,6,1227.60,6,0,0,,19,,14149,110,,,
V02458,48344,17460,Freight Charge,24.52,1,24.52,1,0,0,,19,,17460,1767,,,
V02458,48356,3002,Pg-19 Spring,2.52,1,2.52,1,0,0,,19,,3002,110,,,
V02458,48356,2931,23961-00 Front Tip,33.60,1,33.60,1,0,0,,19,,2931,110,,,
V02458,48356,25209,ADAPTERPOUR,49.20,1,49.20,1,0,0,,19,,25209,110,,,
V02458,48356,17460,Freight Charge,10.61,1,10.61,1,0,0,,19,,17460,1767,,,
V02594,48375,25216,2" KC NIPPLE - CARBON STEEL,23.36,8,23.36,8,0,0,,19,,25216,110,,,
V02594,48375,25217,3/4" CARBON STEEL NIPPLE,12.00,8,12.00,8,0,0,,19,,25217,110,,,
V02658,48420,,Ordered by Andy Puckett for Geo Spray,663.55,,663.55,,0,0,,19,,,1084,,,
V02658,48420,,,54.75,,54.75,,0,0,,19,,,1140,,,
V02243,48404,2556,Throat Seal Fluid 1 Qt,20.494,1,20.494,1,0,0,,18,,2556,110,,,.00
V02243,48404,9864,Fusion Grease 4 oz Tube,7.217,1,7.217,1,0,0,,18,,9864,110,,,.00
V02243,48404,13269,VAT,.00,-1,.00,-1,0,0,,18,,13269,1926,,,
V00821,48496,12551,Cargo Plug for GM Spray in Bedliner,3600.00,36000,3600.00,36000,0,0,,2,,12551,110,,,
V03698,48523,13108,2018 Chevrolet Express 2500VIN# 1GCWGAFP9J1335964Worldwide TechservicesInstallationLadder Rack Brackets,251.75,1,251.75,1,0,0,,2,,13108,1892,,,
V03700,48556,13108,2018 Chevrolet Express 2500VIN# 1GCWGAFP4J1335662Worldwide TechservicesInstallationLadder Rack Brackets,251.75,1,251.75,1,0,0,,2,,13108,1892,,,
V02229,48561,,,65.924,,65.924,,0,0,,12,,,3290,,,-10.548
V02229,48561,24202,IVA,10.31,-1,10.31,-1,0,0,,12,,24202,2923,,,
V02229,48564,,,59.931,,59.931,,0,0,,12,,,3290,,,-9.589
V02229,48564,,,59.931,,59.931,,0,0,,12,,,3290,,,-9.589
V02229,48564,24202,IVA,18.746,-1,18.746,-1,0,0,,12,,24202,2923,,,
V02229,48567,,,119.862,,119.862,,0,0,,12,,,3290,,,-19.178
V02229,48567,,,89.896,,89.896,,0,0,,12,,,3290,,,-14.383
V02229,48567,,,179.793,,179.793,,0,0,,12,,,3290,,,-28.767
V02229,48567,,,179.793,,179.793,,0,0,,12,,,3290,,,-28.767
V02229,48567,24202,IVA,89.044,-1,89.044,-1,0,0,,12,,24202,2923,,,
V00482,48588,,,350.00,,350.00,,0,0,,2,,,1083,,,
V00482,48588,,,397.00,,397.00,,0,0,,2,,,1083,,,
V00482,48588,,,1588.00,,1588.00,,0,0,,2,,,1083,,,
V00482,48588,,,484.00,,484.00,,0,0,,2,,,1083,,,
V03392,48589,21759,HIGH PRESSURE HOSE WITH FITTINGS (SPR MAXI GUARDIAN 6000 12000),.00,1,.00,1,0,0,,19,,21759,110,,,
V03105,48611,2167,X50-9602 COAT A GALLON,.00,1,.00,1,0,0,,19,,2167,110,,,
V03105,48611,2167,X50-9602 COAT B GALLON,.00,1,.00,1,0,0,,19,,2167,110,,,
V03693,48615,13108,2018 Chevrolet Express 2500VIN# 1GCWGAFP4J1285006Worldwide TechservicesInstallationLadder Rack Brackets,251.75,1,251.75,1,0,0,,2,,13108,1892,,,
V03105,48628,22349,UL STAINGUARD 8183 COAT A 1 GALLON CAN,.00,1,.00,1,0,0,,19,,22349,110,,,
V03105,48628,22350,UL STAINGUARD 8183 COAT B CLEAR 1 GALLON CAN,.00,1,.00,1,0,0,,19,,22350,110,,,
V03288,48639,,Andy Ibarra,1459.50,,1459.50,,0,0,,19,,,1899,,,
V02793,48657,22446,2 LBS FOAM COAT A 55 GAL DRUM 500LB NET,.00,1000,.00,1000,0,0,,19,,22446,110,,,
V02793,48657,22135,2 lb foam b side fall spring or regular (FALL SPRING OR REGULAR,.00,1000,.00,1000,0,0,,19,,22135,110,,,
V02793,48657,12855,NOTE:  sent at no cost as agreed between mike bishop deepak & barry REF UPC BL# 13118,.00,1,.00,1,0,0,,19,,12855,1867,,,
V02793,48658,22446,2 LBS FOAM COAT A 55 GAL DRUM 500LB NET,.00,500,.00,500,0,0,,19,,22446,110,,,
V02793,48658,22135,2 lb foam b side fall spring or regular (FALL SPRING OR REGULAR,.00,500,.00,500,0,0,,19,,22135,110,,,
V02793,48658,12855,NOTE:  shipped from GCMC at NC on BL# 13123 ,.00,1,.00,1,0,0,,19,,12855,1867,,,
V02793,48661,22446,2 LBS FOAM COAT A 55 GAL DRUM 500LB NET,.00,500,.00,500,0,0,,19,,22446,110,,,
V02793,48661,22135,2 lb foam b side fall spring or regular (FALL SPRING OR REGULAR,.00,500,.00,500,0,0,,19,,22135,110,,,
V02793,48661,12855,NOTE:  Deepak sent replacement for SO # 133847 as agreed between Bishop & Deepak at NC to UL ,.00,1,.00,1,0,0,,19,,12855,1867,,,
V02226,48692,,,3219.517,,3219.517,,0,0,,12,,,2919,,,.00
V02226,48692,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02594,48702,25477,3/8" MALE JIC X 1/4" MNPT 90 ELBOW,1.37,1,1.37,1,0,0,,19,,25477,110,,,
V02197,48741,,,3580.751,,3580.751,,0,0,,12,,,3290,,,-572.92
V02197,48741,24202,IVA,560.022,-1,560.022,-1,0,0,,12,,24202,2923,,,
V03177,48785,,Modular Cabinet 28"x28"x60"; 11 Drawers with Dividers - NEW (4 Total Cabinets),5714.44,,5714.44,,0,0,,19,,,1350,,,
V03177,48785,,Local Delivery Fee,175.00,,175.00,,0,0,,19,,,1310,,,
V02586,48790,,34D503 1"W PTFE Thread Sealant Tape White 520" Length (5 Rolls),10.00,,10.00,,0,0,,19,,,1899,,,
V02586,48790,,6FGZ2 Traffic Cone 28" Cone Height Orange PVC (4 Cones),51.68,,51.68,,0,0,,19,,,1899,,,
V02586,48790,,1EKE8 Utility Funnel Flow Capacity 64 oz.,4.56,,4.56,,0,0,,19,,,1899,,,
V02586,48790,,Tax,5.47,,5.47,,0,0,,19,,,551,,,
V02891,48885,,,311.45,,311.45,,0,0,,19,,,1767,,,
V02891,48885,12554,Red-Line Wire Trim HD Case/10Ground Effects,5200.00,500,5200.00,500,0,0,,19,,12554,110,,,
V02226,48876,,,1104.664,,1104.664,,0,0,,12,,,2919,,,.00
V02226,48876,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V02226,48931,,,7874.246,,7874.246,,0,0,,12,,,2919,,,.00
V02226,48931,13222,IVA,.00,-1,.00,-1,0,0,,12,,13222,1912,,,
V03664,48850,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST5KS602632Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03664,48851,13108,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST7KS599703Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,313.50,1,0,0,,2,,13108,1892,,,
V03253,48861,,,8982.279,,8982.279,,0,0,,12,,,3286,,,-1437.165
V03253,48861,24202,IVA,1388.493,-1,1388.493,-1,0,0,,12,,24202,2923,,,
V03253,48862,,,380.605,,380.605,,0,0,,12,,,3286,,,-60.897
V03253,48862,24202,IVA,58.834,-1,58.834,-1,0,0,,12,,24202,2923,,,
V03149,48905,,,42.069,,42.069,,0,0,,12,,,3292,,,-6.731
V03149,48905,24202,IVA,6.503,-1,6.503,-1,0,0,,12,,24202,2923,,,
V03149,49098,,,3048.858,,3048.858,,0,0,,12,,,3285,,,-487.817
V03149,49098,24202,IVA,471.296,-1,471.296,-1,0,0,,12,,24202,2923,,,
V02998,48891,18381,60" X 100' PREMIUM FILM ROLL - 20%,5088.00,30,5088.00,30,0,0,,19,,18381,110,,,
