VendorNumber__,OrderNumber__,ItemNumber__,Description__,OrderedAmount__,OrderedQuantity__,DeliveredAmount__,DeliveredQuantity__,InvoicedAmount__,InvoicedQuantity__,TaxCode__,CompanyCode__,UnitPrice__,PartNumber__,GLAccount__,CostCenter__,BudgetID__,TaxRate__,ItemCategory__,Location__,Customer__,CustomerId__
V02458,47841,5,Freight Charge,117.52,1,0,0,0,0,,19,117.52,Freight - UL,1767,,,,Freight : Direct,Texas : UL OffSite Inventory,,
V02994,47866,1,GT1026 – 3 1/2” Yellow Turbo Squeegee Blade,30.00,5,30,5,0,0,,19,6.00,GDI-GT1026,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02994,47866,2,EZ WING LIME,17.80,5,17.8,5,0,0,,19,3.56,GDI-GT060-LIME,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02994,47866,3,EZ WING PEACH,29.35,5,29.35,5,0,0,,19,5.87,GDI-GT060-PEACH,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02994,47866,4,5 1/2” Yellow Turbo Squeegee,38.70,5,38.7,5,0,0,,19,7.74,GDI-GT235,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V03579,47875,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST0KS596254Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47877,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST1KS596263Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47878,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST4KS599724Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47879,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST6KS599725Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47880,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST4KS601455Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47881,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7STXKS599727Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47882,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST1KS599728Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47885,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST5KS596265Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V03579,47886,1,2019 RAM 1500 Classic 4x4 CCVIN# 1C6RR7ST7KS596266Decals Tailgate Lock Nerf Bars GPS Geotab GPS Labor,313.50,1,,,0,0,,2,313.50,National Account,1892,,,,National Accounts,Alabama : Huntsville-Distribution,,
V02458,47890,1,KITAPMIX CHAMBER,117.30,1,117.3,1,0,0,,19,117.30,GAR3729,110,,,,Equipment : Machine Parts : Misc Parts,Texas : UL Houston - Distribution,,
V02458,47890,2,hUNTER rAYNER,1.00,,,,0,0,,19,,,1767,,,,,Texas : UL Houston - Distribution,,
